//spawnid	startpos	endpos	direction	monsterID	count	Rfprobability	RFTime	commotion	note	分区编号
1	14500,4600	34400,7700	-1	1108,1118	20,2	100,100	10,300	40	0	光明2境1A
2	10400,8000	15900,11700	-1	1108,1118	5,1	100,100	10,300	40	0	光明2境1B
3	6400,12200	19900,23600	-1	1108,1118	25,2	100,100	10,300	40	0	光明2境1C
4	20000,12000	29500,20600	-1	1107,1108,1118	10,10,2	100,100,100	10,10,300	40	0	光明2境1D
5	20000,8000	36700,11700	-1	1108,1118	15,2	100,100	10,300	40	0	光明2境E
6	5600,23900	13500,33900	-1	1108,1118	15,1	100,100	10,300	40	0	光明2境2A
7	7300,34300	92000,37200	-1	1108,1118	10,1	100,100	10,300	40	0	光明2境2B
8	8100,37600	11000,45200	-1	1108,1118	10,1	100,100	10,300	40	0	光明2境2C
9	11300,37500	14200,48400	-1	1106,1108,1118	5,5,1	100,100,100	10,10,300	40	0	光明2境2D
10	29600,12000	39800,17200	-1	1107,1108,1118	7,7,2	100,100,100	10,10,300	40	0	光明2境3A
11	29600,17600	40700,20600	-1	1107,1108,1118	3,3,2	100,100,100	10,10,300	40	0	光明2境3B
12	24900,20800	34300,24400	-1	1107,1118	7,1	100,100	10,300	40	0	光明2境3C
13	36900,20700	39900,24600	-1	1107,1118	5,1	100,100	10,300	40	0	光明2境3D
14	20200,20700	24600,39600	-1	1107,1118	25,2	100,100	10,300	40	0	光明2境4A
15	24800,24700	34900,39700	-1	1107,1118	35,3	100,100	10,300	40	0	光明2境4B
16	35300,24800	39000,36400	-1	1107,1118	17,2	100,100	10,300	40	0	光明2境4C
17	39300,28100	41500,32600	-1	1107,1118	7,1	100,100	10,30	40	0	光明2境4D
18	14500,39900	35100,49300	-1	1106,1118	43,4	100,100	10,300	40	0	光明2境5A
19	35300,41600	38200,47600	-1	1106,1118	10,1	100,100	10,300	40	0	光明2境5B
20	17600,49600	31000,51700	-1	1106,1118	10,2	100,100	10,300	40	0	光明2境5C
21	18700,10200	18700,10200	-1	1109	1	100	86400	40	0	光明2境E
