1	Аргент	41,107,214	2	114,148,155	255,255,255	-1,-1,-1	1
2	Окраины Аргента	235,44,169	12	114,148,155	255,255,255	-1,-1,-1	0
3	Бельмонтские равнины	3,33,187	12	114,148,155	255,255,255	-1,-1,-1	0
4	Пастушьи равнины	239,95,95	12	114,148,155	255,255,255	-1,-1,-1	0
5	Андийский лес	76,252,16	12	120,120,120	255,255,255	-1,-1,-1	0
6	Луг Бельды	236,190,212	12	120,120,120	255,255,255	-1,-1,-1	0
7	Халдейская тундра	237,81,6	12	86,129,130	255,255,255	-1,-1,-1	0
8	Громоград	69,77,153	3	120,120,110	255,255,255	-1,-1,-1	1
9	Окраины Громограда	37,142,81	12	150,150,151	255,255,255	-1,-1,-1	0
10	Порт Громограда	101,83,5	3	120,120,152	255,255,255	-1,-1,-1	0
11	Священный лес	92,51,236	11	128,128,128	255,255,255	-1,-1,-1	0
12	Священная Снежная гора	63,84,22	9	128,128,128	255,255,255	-1,-1,-1	0
13	Шайтан	167,34,205	4	145,150,102	255,255,255	-1,-1,-1	1
14	Шайтан (старый город)	204,143,96	4	145,150,103	255,255,255	-1,-1,-1	0
15	Южная пустыня	212,243,78	12	145,150,104	255,255,255	-1,-1,-1	0
16	Песчаная пустыня	74,96,61	12	145,150,105	255,255,255	-1,-1,-1	0
17	Остров Морфей	203,238,47	12	128,128,128	255,255,255	-1,-1,-1	0
18	Столица Абаддона	104,22,117	-1	128,128,128	255,255,255	-1,-1,-1	0
19	Верхняя Ледынь	147,109,53	12	110,171,199	255,255,255	-1,-1,-1	1
20	Нижняя Ледынь	51,244,13	6	110,171,199	255,255,255	-1,-1,-1	1
21	Снежные равнины Атлансис	76,230,5	12	110,171,199	255,255,255	-1,-1,-1	0
22	Ледяной шип	57,33,16	12	110,171,199	255,255,255	-1,-1,-1	0
23	Остров Галер	115,17,139	9	128,128,128	255,255,255	-1,-1,-1	0
24	Весноград	208,161,90	13	128,128,128	255,255,255	-1,-1,-1	0
25	Остров Весны	80,99,145	13	128,128,128	255,255,255	-1,-1,-1	0
26	Таинственная пещера	50,216,246	9	128,128,128	255,255,255	-1,-1,-1	0
27	Остров Лета	168,233,249	14	128,128,128	255,255,255	-1,-1,-1	0
28	Древний дождевой лес	128,114,64	12	128,128,128	255,255,255	-1,-1,-1	0
29	Остров Осени	141,110,121	7	170,106,74	250,242,210	-1,-1,-1	0
30	Леса Дэла	236,161,43	12	128,128,128	255,255,255	-1,-1,-1	0
