// [Gemini.Decompiler(v = 2.0, t = Gemini.Decompiler.Datasets.ItemRefineInfo98, s = 152, n = 342)]
4	Éß½£	25	25	0	25	25	0	25	0	25	0	0	25	0	0	1	1	1	1
5	¾«¸Ö½£	25	25	0	25	25	0	25	0	25	0	0	25	0	0	1	1	1	1
6	Õ¶Áú½£	25	25	0	25	25	0	25	0	25	0	0	25	0	0	1	1	1	1
7	Ê¥½£	25	25	0	25	25	0	25	0	25	0	0	25	0	0	1	1	1	1
15	Ê®×Ö½£	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
16	ÆïÊ¿½£	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
17	Áú¹Ç½£	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
18	À×ÈÐ	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
19	ºÚòð½£	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
20	Õ½Ê¿½£	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
21	³å·æ½£	66	66	0	66	66	0	66	0	66	0	0	66	0	0	1	1	1	0
22	ÍäÈÐ½£	25	25	0	25	25	0	25	0	25	0	0	25	0	0	1	1	1	1
23	Ï®»÷½£	25	25	0	25	25	0	25	0	25	0	0	25	0	0	1	1	1	1
39	¾«ÖÂÊÖÇ¹	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
40	¾«ÖÂÁÔÇ¹	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
41	Ê¥¹âÇ¹	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
42	¶¾ÐÇÇ¹	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
43	»ðÉñÖ®ÐÇ	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
44	ÀñÆ·ÊÖÇ¹	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
45	ËÙÉä»ðÇ¹	34	34	0	34	34	0	34	0	34	0	0	34	0	0	1	1	1	1
76	ÔÂÑÀ´Ì	29	29	0	29	29	0	29	0	29	0	0	29	0	0	1	1	1	1
77	ÀÇÑÀ´Ì	29	29	0	29	29	0	29	0	29	0	0	29	0	0	1	1	1	1
78	ÁúÍõØ°Ê×	29	29	0	29	29	0	29	0	29	0	0	29	0	0	1	1	1	1
79	º£Éñêª	29	29	0	29	29	0	29	0	29	0	0	29	0	0	1	1	1	1
83	Ë®¾§ÈÐ	29	29	0	29	29	0	29	0	29	0	0	29	0	0	1	1	1	1
84	ÊÈÑªÀûÈÐ	29	29	0	29	29	0	29	0	29	0	0	29	0	0	1	1	1	1
100	Æíµ»È¨ÕÈ	18	18	0	18	18	0	18	0	18	0	0	18	0	0	1	1	1	1
101	ÊÞÍ·È¨ÕÈ	18	18	0	18	18	0	18	0	18	0	0	18	0	0	1	1	1	1
102	À×öª·¨ÕÈ	18	18	0	18	18	0	18	0	18	0	0	18	0	0	1	1	1	1
103	ÉúÃüÖ®¹â	18	18	0	18	18	0	18	0	18	0	0	18	0	0	1	1	1	1
